run_id,peak_t,peak_R,peak_I,peak_P,peak_kappa
A-placebo,0,0.0,2053.3,0.0,0.0
B-1.5,0,1.003076171875,2054.3,0.00048828125,0.0
C-2.0,0,1.002587890625,2053.3,0.00048828125,0.0
D-2.5,0,1.003076171875,2054.3,0.00048828125,0.0
E-2.0-echo40,0,1.002587890625,2053.3,0.00048828125,0.0
F-2.5-echo40,0,1.003076171875,2054.3,0.00048828125,0.0
