run_id,seed,t,I,P,R,kappa,EH,bound
A-placebo,789,100,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,110,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,120,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,130,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,140,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,150,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,160,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,170,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,180,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,190,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,200,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,0,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,10,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,20,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,30,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,40,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,50,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,60,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,70,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,80,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,90,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,100,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,110,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,120,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,130,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,140,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,150,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,160,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,170,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,180,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,190,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,200,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,0,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,10,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,20,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,30,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,40,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,50,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,60,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,70,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,80,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,90,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,100,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,110,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,120,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,130,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,140,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,150,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,160,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,170,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,180,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,190,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,200,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,0,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,10,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,20,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,30,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,40,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,50,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,60,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,70,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,80,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,90,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,100,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,110,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,120,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,130,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,140,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,150,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,160,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,170,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,180,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,190,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1415,200,2024.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,0,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,10,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,20,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,30,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,40,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,50,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,60,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,70,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,80,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,90,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,100,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,110,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,120,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,130,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,140,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,150,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,160,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,170,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,180,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,190,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1617,200,2041.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,0,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,10,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,20,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,30,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,40,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,50,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,60,2023.0,0.0,0.0,0.0,True,1477.3197218702985
